symbol,name,initial_price,trend,volatility,description
DFTB,Demeter FreeTrade Banking,,0.07%,1.18%,Off Planet Banking - Speclizing in hiding your money from the authorities
AUTX,"Automatronix, LLC",,0.24%,0.73%,"Droid Manufacturer - A budget-tier droid manufacturer, Automatronix is known for cheaply produced, poorly regulated robots that barely meet safety standards. Their AI programming is based on scavenged code from long-forgotten war machines, glitchy personal assistants, and one suspiciously aggressive Tamagotchi."
GKVC,Grizwald and Krumm Voidcraft,,0.46%,1.90%,"Ship Manufacturer - High tier, expensive, and elite, starship manufacturor, supplying the galaxies most elite armadas."
PBSA,Pretty Boy Shield and Accessories,,1.00%,0.49%,Combat Tech Manufacturer - A small Demeter based gear company - now repressented by Munk's Hunks
WSAA,Wex and Sons Applied Armaments,,-0.07%,0.32%,Weapons Manufacturing - A small Demeter based Weapons company
FLUX,Flux-Sterling Media,,-0.18%,0.87%,"Media Conglomerate - Large, but declining, media company, most famous for being the producers and distributers for ""The untamed Galaxy with Buck Callahan"""
BLLC,Bellatrix Cleans!,,0.02%,0.13%,Cleaning Services - Bellatrix Station based cleaning company.
IHLD,Impiato Hion Lightspeed Drives,,-0.23%,1.38%,Grav Drive Manufaturer - Mid tier Gravity drive manufacturors.
VOSS,Voss Industries,,0.21%,1.02%,"Agri Manufacturor - One of the leading manufacturors of bio engineered agri-products, famous for things like Grav Honey, Micro-corn, and Mega-corn."
SLOP,SlopBars LTD.,,0.12%,0.34%,Snack Maker - You know what it is.
BCSD,Blue Comet Soft-Drinks,,0.40%,0.07%,"Soft Drink Maker - Slurp down a Blue Comet, Death of a Star XTREME gushing slurp pouch today"
HOLY,Holy Sisters of the Infinite and Terrible Void,,0.09%,0.76%,"Void Worship/Drug Maufacturer - Of the myriad religions in the known Universe, the Holy Sisters of the Infinite and Terrible Void is the only one with no splinter factions, hence, it is easily definable by its own tenets which are as follows: 1) God is a Paradox; Ever present and never there when you need Her, 2) Non-participation is the better part of action, 3) If the pond is illusion, then what are the ripples? 4) All things come to she who waits… and waits…and waits, 5) Confuse Karma; stand quite still and think of nothing."
NTAS,Church of the Ninth Tone Ascendancy,,-0.23%,1.68%,"Worshippers of the Bell/Gizmos - Worshipers of the holy octive, and large scale gizmo and doodad makers."
FGFD,The Fredric-Grafter Federation,,0.23%,0.98%,"Research Organization - The Federation is a union of research teams, backed by immense teams and facilities all spread over a handful of worlds on the outskirts of the Daphda Traverse. Though they are not technically a government, nor do they have citizens, they do maintain complete private control of their worlds, and maintain strict regulations on the comings and goings of their corner of the Daphda."
OOBO,Ooga Boogo Inc.,,-0.36%,1.77%,Ooga/Booga - Ooga Booga Boo
FFFF,Fire Frank Fitz’s Empire,,0.28%,0.80%,"Smuggling Empire - The Empire of the greatest pirate ever to cross the void. His empire has its hands in many different industries, but made its start smuggling ""illicit"" substances."
HMAG,Her Majesties Goodies,,-0.26%,1.77%,Trade Conglomerate - General Exporter of Delphine locally maufactured products
